LGA,FIRST,SECOND
Hume,73.8,35.1
Whittlesea,71.7,37.9
Moreland,70.9,41.9
Wyndham,82.8,41.5
Brimbank,71.9,38.8
Melton,75.2,37.9
Darebin,69.5,42.1
Casey,77.2,41.3
Hobsons Bay,77.7,48.4
Moonee Valley,77.6,50
Melbourne,64.1,33.7
Banyule,82.7,55.3
Greater Dandenong,72.4,36.3
Yarra,70.2,46.3
Cardinia,78.3,43
Port Phillip,71.7,47.5
Manningham,82,52.3
Maribyrnong,72.5,44.3
Mitchell,78.4,46.1
Knox,80.3,49
Monash,76.5,46.1
Kingston,79.8,50.3
Glen Eira,80.1,52.7
Stonnington,75,50.4
Maroondah,80.5,50.4
Boroondara,82.9,58
Frankston,76.2,46
Whitehorse,80.5,50.4
Greater Geelong,86.5,56.5
Bayside,88.3,62.9
Yarra Ranges,78.2,46.7
Nillumbik,88.2,57.9
Ballarat,83.6,53.5
Macedon Ranges,90.6,61.5
Moorabool,83.8,48.4
Mornington Peninsula,84.5,58.4
Latrobe,73.3,44.9
Greater Shepparton,84.8,47
Surf Coast,95,67.1
Mount Alexander,86.9,61.4
Greater Bendigo,83.8,56.1
Bass Coast,89.9,59.4
Wodonga,81.2,52.2
Murrindindi,79.9,50.9
Corangamite,87.3,56.3
Wangaratta,87.7,56
Indigo,89,57.7
Baw Baw,79,50.7
Golden Plains,83.5,50.8
Mildura,77.4,44.6
South Gippsland,84.1,54.2
Moira,87.4,53.9
East Gippsland,85.6,60
Northern Grampians,87.4,58.3
Southern Grampians,89.6,60.6
Colac Otway,83.4,53.2
Wellington,80.1,55
Glenelg,84.8,54.5
Horsham,83.4,54.8
Warrnambool,90.5,59.8
Campaspe,87.8,54.3
Mansfield,86.7,53.7
Ararat,82.4,56.2
Swan Hill,89.8,52.2
Hepburn,84.8,60.7
Loddon,83.3,55.7
Benalla,85.8,61.2
Gannawarra,87.1,55.5
Pyrenees,80.8,55.4
Central Goldfields,82.5,59.4
Moyne,88.1,57.1
Strathbogie,86.6,57.4
Alpine,86.7,58.7
Queenscliffe,95,83.4
West Wimmera,83.7,55.2
Yarriambiack,86.2,61.3
Buloke,91.5,64.9
Hindmarsh,85.9,54.5
Towong,87.2,57.9
